"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"1","2017-03-23 10:07:16.777061","2.1.1","host","USB","35","0000090000000000","URB_INTERRUPT in"
"2","2017-03-23 10:07:16.914192","2.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"3","2017-03-23 10:07:17.076812","2.1.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"4","2017-03-23 10:07:17.176842","2.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"5","2017-03-23 10:07:17.615136","2.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"6","2017-03-23 10:07:17.745857","2.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"7","2017-03-23 10:07:17.961476","2.1.1","host","USB","35","00000a0000000000","URB_INTERRUPT in"
"8","2017-03-23 10:07:18.093187","2.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"9","2017-03-23 10:07:18.376371","2.1.1","host","USB","35","2000000000000000","URB_INTERRUPT in"
"10","2017-03-23 10:07:18.711932","2.1.1","host","USB","35","20002f0000000000","URB_INTERRUPT in"
"11","2017-03-23 10:07:18.831915","2.1.1","host","USB","35","2000000000000000","URB_INTERRUPT in"
"12","2017-03-23 10:07:18.844352","2.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"13","2017-03-23 10:07:19.161210","2.1.1","host","USB","35","0000130000000000","URB_INTERRUPT in"
"14","2017-03-23 10:07:19.261111","2.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"15","2017-03-23 10:07:19.777299","2.1.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"16","2017-03-23 10:07:19.893244","2.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"17","2017-03-23 10:07:20.693714","2.1.1","host","USB","35","0000200000000000","URB_INTERRUPT in"
"18","2017-03-23 10:07:20.792675","2.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"19","2017-03-23 10:07:21.577262","2.1.1","host","USB","35","0000220000000000","URB_INTERRUPT in"
"20","2017-03-23 10:07:21.631818","2.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"21","2017-03-23 10:07:21.744887","2.1.1","host","USB","35","0000220000000000","URB_INTERRUPT in"
"22","2017-03-23 10:07:21.839903","2.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"23","2017-03-23 10:07:22.145654","2.1.1","host","USB","35","2000000000000000","URB_INTERRUPT in"
"24","2017-03-23 10:07:22.511713","2.1.1","host","USB","35","20002d0000000000","URB_INTERRUPT in"
"25","2017-03-23 10:07:22.714667","2.1.1","host","USB","35","2000000000000000","URB_INTERRUPT in"
"26","2017-03-23 10:07:22.745955","2.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"27","2017-03-23 10:07:23.647711","2.1.1","host","USB","35","0000270000000000","URB_INTERRUPT in"
"28","2017-03-23 10:07:23.751894","2.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"29","2017-03-23 10:07:25.192405","2.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"30","2017-03-23 10:07:25.345196","2.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"31","2017-03-23 10:07:25.561005","2.1.1","host","USB","35","00001a0000000000","URB_INTERRUPT in"
"32","2017-03-23 10:07:25.676784","2.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"33","2017-03-23 10:07:26.029490","2.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"34","2017-03-23 10:07:26.146025","2.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"35","2017-03-23 10:07:26.329691","2.1.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"36","2017-03-23 10:07:26.445197","2.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"37","2017-03-23 10:07:27.014702","2.1.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
